@relation solicitantes

@attribute edad_del_peticionario real
@attribute nivel_de_estudios {ninguno, licenciatura, posgrado}
@attribute nivel_de_renta {alto, medio, bajo}
@attribute patrimonio {alto, medio, bajo}
@attribute numero_de_hijos real
@attribute tamano_del_credito real
@attribute funcionario {si, no}
@attribute autorizado {si, no}

@data
37,ninguno,medio,medio,2,13607,si,no
22,licenciatura,bajo,medio,5,17365,no,no
24,licenciatura,bajo,bajo,6,10321,si,no
20,licenciatura,medio,bajo,1,76444,si,si
30,licenciatura,medio,alto,3,26482,si,si
22,licenciatura,alto,bajo,3,33282,si,si
36,licenciatura,bajo,bajo,3,8829,si,no
38,licenciatura,medio,bajo,2,91011,si,si
28,licenciatura,bajo,bajo,5,17671,no,no
56,ninguno,medio,bajo,0,32678,no,no
53,posgrado,medio,alto,2,67292,no,no
46,posgrado,medio,bajo,2,87007,si,si
55,ninguno,bajo,bajo,5,11929,no,no
38,ninguno,bajo,bajo,5,3571,no,no
49,ninguno,bajo,bajo,3,4310,no,no
45,ninguno,medio,bajo,3,93660,si,si
42,posgrado,medio,medio,2,99765,si,no
25,licenciatura,medio,bajo,1,94303,no,si
36,licenciatura,alto,medio,3,75936,si,si
58,ninguno,bajo,bajo,6,15093,no,no
50,ninguno,bajo,bajo,6,9514,no,no
21,licenciatura,medio,medio,0,9774,si,si
41,posgrado,medio,bajo,1,3925,si,si
32,licenciatura,medio,bajo,0,4122,si,si
43,ninguno,bajo,bajo,1,14880,no,no
39,licenciatura,bajo,bajo,4,18259,no,no
47,ninguno,medio,alto,3,71198,no,no
57,ninguno,bajo,bajo,4,7300,no,no
49,ninguno,bajo,bajo,2,12060,no,no
41,ninguno,bajo,bajo,5,10038,si,no
43,posgrado,medio,medio,1,26018,si,no
45,ninguno,bajo,bajo,3,7310,no,no
20,licenciatura,bajo,bajo,6,10350,no,si
22,licenciatura,bajo,bajo,2,19876,no,si
25,licenciatura,medio,bajo,0,17493,si,si
41,posgrado,alto,alto,1,28760,si,si
47,ninguno,bajo,bajo,5,17872,no,no
51,ninguno,medio,medio,3,10960,si,si
37,posgrado,medio,medio,2,21184,si,si
51,ninguno,bajo,bajo,4,12623,no,no
41,ninguno,bajo,bajo,2,5644,no,no
45,ninguno,bajo,bajo,3,14419,no,no
31,licenciatura,medio,medio,1,73087,si,no
49,ninguno,bajo,bajo,2,5774,no,no
20,licenciatura,medio,medio,0,81018,si,si
26,licenciatura,medio,alto,0,4220,si,si
56,ninguno,bajo,bajo,6,6928,no,no
53,ninguno,bajo,bajo,1,18922,no,no
58,ninguno,bajo,bajo,1,16349,no,no
21,licenciatura,medio,alto,2,32315,si,no
24,ninguno,medio,alto,2,43729,si,si
44,ninguno,bajo,bajo,3,6302,no,no
28,licenciatura,medio,alto,3,8193,si,si
35,licenciatura,bajo,bajo,2,9001,no,no
51,posgrado,medio,bajo,1,77730,si,si
25,licenciatura,bajo,bajo,6,16742,no,si
30,licenciatura,medio,alto,1,21543,si,si
32,licenciatura,medio,bajo,0,51541,si,si
38,ninguno,medio,medio,3,74046,si,si
60,ninguno,bajo,bajo,6,18163,no,no
32,posgrado,medio,medio,2,58774,si,si
53,posgrado,medio,medio,0,37952,si,no
39,licenciatura,bajo,bajo,4,4969,no,no
42,ninguno,medio,bajo,0,4833,si,si
35,ninguno,alto,medio,0,98690,si,si
32,licenciatura,medio,bajo,2,37381,si,si
32,licenciatura,medio,bajo,1,63756,si,no
44,ninguno,bajo,bajo,3,762,no,no
36,licenciatura,bajo,bajo,4,15540,no,no
33,licenciatura,medio,alto,2,51724,si,si
39,licenciatura,medio,medio,0,2170,si,si
43,posgrado,medio,medio,2,67360,si,si
51,ninguno,medio,medio,0,72404,si,no
42,ninguno,bajo,bajo,3,8078,no,no
31,ninguno,bajo,bajo,6,19792,no,no
20,licenciatura,bajo,bajo,4,10667,no,si
22,licenciatura,medio,bajo,2,16776,si,si
43,ninguno,bajo,bajo,5,2018,no,no
28,posgrado,medio,bajo,2,24953,no,si
34,licenciatura,medio,alto,1,28014,si,si
30,ninguno,bajo,medio,3,4711,no,no
22,licenciatura,bajo,bajo,2,4625,no,no
55,ninguno,bajo,bajo,1,1381,no,no
37,licenciatura,medio,bajo,1,6249,no,no
25,licenciatura,medio,alto,2,75910,si,si
48,ninguno,alto,alto,0,72390,si,si
42,ninguno,bajo,bajo,1,7305,si,si
32,ninguno,bajo,bajo,3,6237,no,no
59,posgrado,bajo,bajo,5,6031,no,no
30,licenciatura,bajo,bajo,4,6701,si,si
57,ninguno,bajo,bajo,1,10896,no,no
52,posgrado,medio,medio,0,92237,si,si
50,posgrado,medio,medio,3,57029,no,no
59,posgrado,medio,alto,3,87175,si,no
34,ninguno,medio,bajo,3,68302,si,no
50,ninguno,bajo,bajo,2,3154,si,no
46,ninguno,bajo,bajo,1,5177,si,no
46,ninguno,bajo,bajo,4,10119,no,no
24,licenciatura,medio,bajo,3,15168,si,si
44,posgrado,medio,medio,0,10495,si,si
38,licenciatura,medio,medio,0,56162,si,si
26,licenciatura,medio,bajo,2,90770,si,no
34,licenciatura,bajo,medio,4,7058,si,no
45,posgrado,medio,alto,2,87628,si,si
56,ninguno,medio,bajo,2,13561,si,no
46,ninguno,bajo,bajo,3,10791,no,si
60,ninguno,bajo,bajo,4,11755,no,no
54,ninguno,bajo,medio,6,15638,si,no
57,ninguno,bajo,bajo,3,16357,no,no
29,licenciatura,medio,alto,2,87027,si,no
35,licenciatura,alto,alto,1,56671,si,si
31,licenciatura,medio,medio,2,23068,si,si
41,posgrado,alto,bajo,3,73258,no,no
38,licenciatura,alto,alto,1,19460,si,si
51,posgrado,alto,bajo,1,99574,si,si
23,licenciatura,bajo,bajo,2,19434,no,no
33,licenciatura,bajo,bajo,4,19637,no,no
55,posgrado,medio,bajo,2,71061,si,si
41,ninguno,medio,medio,0,58741,si,si
59,ninguno,bajo,bajo,4,14105,no,si
45,posgrado,medio,bajo,1,76597,si,no
54,ninguno,bajo,bajo,1,16791,si,si
32,ninguno,bajo,bajo,3,19408,no,no
33,ninguno,bajo,medio,6,4413,si,no
27,licenciatura,bajo,bajo,5,13667,si,si
25,posgrado,medio,alto,2,34028,si,si
27,licenciatura,bajo,bajo,5,13406,no,no
54,ninguno,bajo,bajo,6,7429,no,no
20,licenciatura,bajo,bajo,2,6194,no,no
20,licenciatura,medio,bajo,1,48460,si,si
58,ninguno,bajo,bajo,5,4155,no,no
53,ninguno,medio,alto,3,61621,si,si
22,licenciatura,medio,alto,1,16474,si,no
55,ninguno,bajo,medio,2,6554,no,no
24,licenciatura,medio,alto,0,22523,si,no
22,licenciatura,medio,bajo,2,9581,si,si
34,licenciatura,medio,medio,0,72568,si,si
34,licenciatura,medio,alto,1,69086,si,si
29,licenciatura,medio,bajo,0,23859,no,no
27,licenciatura,bajo,bajo,5,10466,no,no
30,posgrado,medio,medio,3,59588,si,si
35,ninguno,medio,medio,2,26329,si,no
57,posgrado,alto,alto,0,39131,si,si
35,licenciatura,bajo,alto,6,18028,si,no
39,ninguno,medio,alto,2,66060,si,si
30,licenciatura,medio,medio,2,15946,si,si
23,licenciatura,medio,medio,0,83942,si,si
29,licenciatura,bajo,bajo,1,2950,no,si
20,ninguno,medio,medio,2,10286,si,si
53,posgrado,alto,bajo,3,49514,no,no
48,ninguno,bajo,bajo,1,10508,no,no
52,posgrado,medio,alto,0,94072,si,no
42,posgrado,medio,medio,1,28658,si,si
56,ninguno,bajo,bajo,2,15524,no,no
39,licenciatura,medio,medio,1,70750,si,si
23,licenciatura,medio,medio,1,40827,si,si
27,licenciatura,bajo,bajo,1,10971,no,no
27,licenciatura,bajo,bajo,1,17772,si,no
38,licenciatura,medio,alto,1,85807,si,no
31,licenciatura,alto,alto,1,15450,si,si
38,ninguno,medio,bajo,0,80349,si,si
29,licenciatura,bajo,bajo,5,15899,no,si
29,ninguno,medio,bajo,1,29763,si,si
53,ninguno,bajo,bajo,4,3573,no,no
51,ninguno,bajo,bajo,2,6977,si,no
35,licenciatura,medio,medio,2,18940,si,si
27,licenciatura,medio,bajo,2,90443,si,no
39,posgrado,bajo,medio,2,10073,si,no
58,posgrado,alto,medio,2,7922,si,si
42,ninguno,bajo,bajo,1,19827,si,si
31,ninguno,bajo,bajo,2,2322,no,no
43,ninguno,medio,alto,0,55465,si,si
30,licenciatura,bajo,bajo,4,5824,no,no
59,ninguno,bajo,bajo,2,18329,no,no
23,licenciatura,medio,bajo,3,69253,si,no
29,licenciatura,medio,alto,0,64446,no,si
57,ninguno,bajo,bajo,2,11584,no,no
43,ninguno,bajo,bajo,4,5010,no,si
20,licenciatura,medio,medio,3,97211,si,no
47,ninguno,bajo,bajo,6,9275,no,no
35,ninguno,medio,alto,1,52209,si,si
55,ninguno,bajo,bajo,1,13388,no,no
32,licenciatura,medio,alto,0,52153,si,si
50,posgrado,medio,medio,2,69232,si,no
42,ninguno,bajo,bajo,5,12404,no,si
54,ninguno,bajo,bajo,3,18678,no,no
45,ninguno,bajo,bajo,5,6802,no,no
27,licenciatura,medio,alto,0,61674,si,si
28,ninguno,bajo,medio,1,15224,si,no
52,ninguno,bajo,medio,6,12013,no,no
46,ninguno,bajo,bajo,2,16674,no,no
38,licenciatura,medio,bajo,0,16497,si,si
20,ninguno,medio,alto,1,8790,si,si
25,licenciatura,medio,medio,3,21707,si,si
45,ninguno,medio,medio,3,2814,no,no
25,licenciatura,alto,alto,2,92995,si,si
24,licenciatura,medio,bajo,1,26581,si,si
50,posgrado,alto,medio,1,91996,si,si
31,licenciatura,bajo,medio,1,3301,no,no
49,ninguno,bajo,bajo,4,12558,no,no
58,ninguno,medio,bajo,1,77513,si,si
50,ninguno,bajo,bajo,6,15622,no,si
20,licenciatura,medio,alto,1,61099,si,si
32,ninguno,medio,alto,1,65626,si,si
20,licenciatura,bajo,alto,3,8895,no,si
52,ninguno,medio,medio,0,75104,si,no
56,posgrado,medio,alto,2,29773,si,si
42,posgrado,medio,alto,1,52390,si,si
40,licenciatura,bajo,bajo,3,18162,no,no
39,licenciatura,medio,alto,0,59679,si,si
59,posgrado,medio,alto,3,91559,si,no
32,licenciatura,medio,medio,3,54890,si,si
54,posgrado,medio,alto,1,82642,si,no
37,ninguno,medio,medio,3,87649,no,no
60,ninguno,bajo,bajo,5,2507,no,no
23,licenciatura,medio,medio,0,88055,si,si
60,ninguno,medio,alto,1,99488,si,si
47,ninguno,bajo,bajo,4,10750,no,no
52,ninguno,bajo,bajo,3,5452,no,no
37,licenciatura,medio,alto,2,77656,si,no
29,licenciatura,medio,bajo,1,82268,si,si
30,licenciatura,medio,medio,2,77709,si,si
21,licenciatura,medio,alto,3,8371,si,si
46,ninguno,bajo,bajo,6,2986,no,no
41,ninguno,bajo,bajo,4,1240,no,si
46,ninguno,bajo,bajo,2,8434,no,no
47,ninguno,bajo,bajo,3,5602,no,no
41,ninguno,bajo,bajo,1,18708,no,no
57,ninguno,bajo,bajo,2,19963,si,no
35,ninguno,bajo,medio,1,10902,si,si
31,ninguno,alto,medio,1,34929,si,si
21,licenciatura,medio,bajo,2,97986,si,si
24,licenciatura,bajo,bajo,2,4926,no,si
49,ninguno,medio,medio,2,55064,si,si
